Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
98,22,8,79,0,Some Random Commen with Id 98
99,23,6,95,6,Some Random Commen with Id 99
100,23,6,26,1,Some Random Commen with Id 100
101,23,6,105,2,Some Random Commen with Id 101
102,23,6,157,0,Some Random Commen with Id 102
103,23,6,91,7,Some Random Commen with Id 103
104,23,6,158,7,Some Random Commen with Id 104
105,23,6,24,2,Some Random Commen with Id 105
106,23,6,130,3,Some Random Commen with Id 106
107,24,5,98,9,Some Random Commen with Id 107
108,25,5,62,2,Some Random Commen with Id 108
109,25,5,33,7,Some Random Commen with Id 109
110,25,5,141,2,Some Random Commen with Id 110
111,25,5,84,6,Some Random Commen with Id 111
112,26,0,58,9,Some Random Commen with Id 112
113,26,0,20,6,Some Random Commen with Id 113
114,26,0,75,1,Some Random Commen with Id 114
115,27,9,69,3,Some Random Commen with Id 115
116,27,9,12,0,Some Random Commen with Id 116
117,27,9,195,6,Some Random Commen with Id 117
118,27,9,122,1,Some Random Commen with Id 118
119,27,9,179,4,Some Random Commen with Id 119
120,27,9,101,7,Some Random Commen with Id 120
121,27,9,46,1,Some Random Commen with Id 121
122,28,8,128,8,Some Random Commen with Id 122
123,29,6,7,4,Some Random Commen with Id 123
124,29,6,142,8,Some Random Commen with Id 124
125,29,6,176,0,Some Random Commen with Id 125
126,29,6,194,5,Some Random Commen with Id 126
127,29,6,116,4,Some Random Commen with Id 127
128,30,3,146,4,Some Random Commen with Id 128
129,30,3,30,5,Some Random Commen with Id 129
130,30,3,15,4,Some Random Commen with Id 130
131,30,3,151,3,Some Random Commen with Id 131
132,30,3,64,7,Some Random Commen with Id 132
133,30,3,62,7,Some Random Commen with Id 133
134,33,2,123,6,Some Random Commen with Id 134
135,34,4,8,5,Some Random Commen with Id 135
136,34,4,93,7,Some Random Commen with Id 136
137,35,7,9,6,Some Random Commen with Id 137
138,35,7,90,2,Some Random Commen with Id 138
139,35,7,39,0,Some Random Commen with Id 139
140,36,6,71,2,Some Random Commen with Id 140
141,37,0,70,7,Some Random Commen with Id 141
142,37,0,50,8,Some Random Commen with Id 142
143,37,0,167,1,Some Random Commen with Id 143
144,37,0,67,0,Some Random Commen with Id 144
145,37,0,123,2,Some Random Commen with Id 145
146,37,0,152,6,Some Random Commen with Id 146
147,37,0,191,9,Some Random Commen with Id 147
148,38,3,140,1,Some Random Commen with Id 148
149,38,3,65,0,Some Random Commen with Id 149
150,39,0,40,3,Some Random Commen with Id 150
151,39,0,40,6,Some Random Commen with Id 151
152,39,0,11,3,Some Random Commen with Id 152
153,39,0,31,4,Some Random Commen with Id 153
154,39,0,138,0,Some Random Commen with Id 154
155,39,0,96,0,Some Random Commen with Id 155
